Ginicial1,Gfinal1,Gmax1,Gmin1,Polo1,Ganancia1,Ginicial2,Gfinal2,Gmax2,Gmin2,Polo2,Ganancia2,Ginicial3,Gfinal3,Gmax3,Gmin3,Polo3,Ganancia3,Ginicial4,Gfinal4,Gmax4,Gmin4,Polo4,Ganancia4,Ginicial5,Gfinal5,Gmax5,Gmin5,Polo5,Ganancia5,Ginicial6,Gfinal6,Gmax6,Gmin6,Polo6,Ganancia6,Ginicial7,Gfinal7,Gmax7,Gmin7,Polo7,Ganancia7,Ginicial8,Gfinal8,Gmax8,Gmin8,Polo8,Ganancia8,Ginicial9,Gfinal9,Gmax9,Gmin9,Polo9,Ganancia9,Ginicial10,Gfinal10,Gmax10,Gmin10,Polo10,Ganancia10,Ginicial11,Gfinal11,Gmax11,Gmin11,Polo11,Ganancia11,Ginicial12,Gfinal12,Gmax12,Gmin12,Polo12,Ganancia12,Ginicial13,Gfinal13,Gmax13,Gmin13,Polo13,Ganancia13,Ginicial14,Gfinal14,Gmax14,Gmin14,Polo14,Ganancia14,Ginicial15,Gfinal15,Gmax15,Gmin15,Polo15,Ganancia15,Ginicial16,Gfinal16,Gmax16,Gmin16,Polo16,Ganancia16,Target
28.22588,51.08584,42.0557,34.57216,23.5765,44.55592,44.0271,39.04956,46.99666,25.56744,101.4683,64.76704,26.63576,79.62434,90.76588,21.37884,26.06736,47.9996,40.16572,34.06218,23.60796,42.54632,41.38504,36.61722,47.86378,24.89964,105.5111,64.9252,27.97726,80.36062,103.4669,21.38174,28.605,52.439,42.852,34.962,24.048,45.728,44.759,39.469,48.935,26.088,106.695,67.137,28.067,84.596,107.364,22,25.836,47.127,39.951,33.948,23.491,42.112,39.89,36.022,46.419,24.83,100.703,64.608,26.441,78.658,91.136,21.148,-0.9956087,-0.9981038,-0.9918508,-0.9835203,-0.9696182,-0.9933791,-0.9951366,-0.9889532,-0.9541015,-0.9988931,-0.9570507,-0.9558799,-0.9904323,-0.8616476,-0.9676086,-0.9888241,-0.01390063,-0.01901449,-0.01709322,-0.003835972,0.006946794,-0.01483365,-0.02215844,-0.02402214,0.05745634,-0.003028436,0.167426,0.04876348,0.01315385,0.2275834,0.4075375,0.002538687,Cedro
27.74396,54.14746,42.01904,34.60706,23.46906,44.61012,44.2362,39.21404,45.05708,25.25888,100.5666,64.75096,26.3697,79.0451,86.34812,21.29836,27.14602,53.94422,41.28472,34.4803,24.0313,44.18484,42.95858,38.60534,47.06392,25.01522,106.18,65.59478,27.9148,80.4558,102.8332,21.40716,28.138,55.223,42.58,35.061,24.219,45.351,45.054,39.769,48.598,25.679,108.04,66.418,27.961,81.839,106.364,21.875,26.968,53.701,40.756,34.281,23.519,43.473,42.58,37.906,44.686,24.741,100.703,65.294,26.216,80.22,88.225,21.339,-0.9888006,-0.9290439,-0.9765425,-0.9057767,-0.9378041,-0.9490839,-0.962535,-0.9172762,-0.9344922,-0.9981953,-0.9606113,-0.9172476,-0.9874317,-0.7870912,-0.9710123,-0.9887687,-0.004564395,0.02998916,-0.01465218,0.005705005,0.03363803,-0.004846185,-0.03075243,-0.01975638,0.1304884,-0.002251707,0.1926466,0.1021197,0.0188785,0.4161462,0.47269,0.003238061,Cedro
26.04248,61.20316,41.582,34.05818,23.83158,44.3129,43.90382,40.23328,47.92462,25.14452,101.2646,65.53724,27.43926,80.48768,93.1994,22.09982,26.86192,57.9672,39.90386,33.29444,23.65284,42.51776,41.64708,37.95388,48.28614,24.54326,103.7923,65.45816,28.40672,80.62046,106.021,21.92854,27.27,61.86,41.783,33.901,23.768,44.613,43.966,40.196,49.448,25.099,104.413,67.283,28.532,82.252,118.401,22.176,24.712,56.171,39.709,33.116,23.409,41.914,41.328,37.683,47.367,24.449,100.404,65.156,26.835,76.78,95.026,21.826,-0.9870387,-0.9993669,-0.9725274,-0.8802466,-0.7640487,-0.9651053,-0.9651163,-0.9624319,-0.940157,-0.9875033,-0.9597065,-0.7259345,-0.996012,-0.8682139,-0.9324417,-0.934596,0.009627143,-0.01826069,-0.04405727,-0.08125099,-0.05245814,-0.0591672,-0.05849128,-0.06432081,0.04040533,-0.006134723,0.07662741,0.07770024,0.005929311,0.07640451,0.8046933,-0.004857248,Cedro
26.44502,59.65866,40.27134,32.77826,22.43676,42.90158,42.59012,38.20604,44.4575,24.38726,94.87302,64.03966,25.56262,77.7284,85.17744,21.20822,25.00808,58.25828,39.00238,31.75756,21.73286,41.59764,40.04898,36.43584,44.8346,23.67662,97.32766,64.3894,25.24188,78.18274,100.0532,20.3142,26.152,60.499,40.319,32.49,22.277,43.126,42.58,38.075,45.652,24.247,97.789,65.433,25.371,81.429,102.837,21.125,24.712,57.927,38.704,31.626,21.315,41.393,39.588,35.11,43.895,23.574,93.174,63.537,24.624,75.87,85.925,20.251,-0.9734546,-0.9814577,-0.9481266,-0.9654751,-0.9807095,-0.9534093,-0.9737356,-0.9558314,-0.9515986,-0.9843753,-0.9698537,-0.8563343,-0.9976841,-0.790153,-0.9590984,-0.9920207,-0.03907812,-0.01421504,-0.06428093,-0.03582436,-0.01446125,-0.05468683,-0.06203862,-0.07798011,0.005356079,-0.01230327,0.03513836,0.07357103,-0.000288198,0.1318892,0.5844431,-0.007745875,Cedro
26.22688,59.7844,39.7813,32.3581,21.68328,42.28138,41.58578,37.377,43.46168,24.15154,92.72942,63.71758,24.804,76.79878,85.27464,20.55446,25.3092,57.62928,39.53314,32.52432,22.43134,42.19458,40.5367,37.06012,45.4606,23.92784,98.80954,64.4454,26.51022,78.17404,99.06476,20.8137,26.184,60.621,39.89,32.8,22.508,42.784,41.914,37.462,45.88,24.362,100.404,66.134,26.735,79.825,113.373,20.937,25.189,57.148,39.113,31.967,21.532,41.783,39.113,35.511,43.264,23.851,92.4,63.012,24.507,77.149,86.15,20.613,-0.9655477,-0.9883832,-0.8858939,-0.9121353,-0.9838461,-0.8281401,-0.9443305,-0.6717464,-0.9631951,-0.9840419,-0.9783602,-0.6946527,-0.9922616,-0.8327216,-0.9206925,-0.8838832,-0.02493932,-0.01980603,-0.03717074,0.006862822,0.01031421,0.003298245,-0.04573289,-0.1003777,0.07549176,-0.001173952,0.1261356,0.2944117,0.01448009,0.2751321,1.033586,0.03388414,Cedro
26.01142,59.69604,39.83234,32.51464,22.06406,42.40864,41.92868,37.42532,43.3347,24.14294,91.8763,63.65108,24.9277,76.21826,80.87848,20.80406,25.32112,58.33602,39.04114,32.01096,22.33046,40.9061,40.60672,37.01302,45.44886,23.91952,98.3259,64.2416,26.65274,77.81204,98.0298,21.02332,26.056,61.235,40.135,32.578,22.456,43.333,42.312,37.683,45.88,24.478,99.227,65.433,26.968,81.225,103.463,21.172,24.949,57.258,38.878,31.839,22.025,40.381,40.443,36.651,43.403,23.795,91.891,63.405,24.771,72.414,82.252,20.913,-0.9681396,-0.9903188,-0.9485552,-0.9135999,-0.9282656,-0.9581183,-0.9736827,-0.7767265,-0.9427302,-0.9863671,-0.963616,-0.7911636,-0.9897894,-0.7628054,-0.9558111,-0.8383422,-0.01390817,-0.008811393,-0.02693468,-0.03027519,0.01336326,-0.03372681,-0.02369934,-0.05221865,0.1203528,-0.001095593,0.2313944,0.1894599,0.01790776,0.4332671,0.730934,0.04662604,Cedro
25.78708,38.22418,40.35796,32.82902,20.85318,42.96152,41.32816,36.8377,39.23994,23.23268,97.96018,62.63812,22.89656,74.37814,70.902,18.45446,25.22714,35.5987,36.40498,28.32578,18.5514,37.34246,40.2089,36.32292,42.05464,23.58378,84.7598,60.28694,23.2209,75.52476,88.84412,19.28012,26.441,39.349,40.945,33.07,21.243,43.824,42.513,37.963,42.988,24.391,103.463,64.745,24.077,80.419,97.789,19.617,21.752,35.11,35.26,28.102,18.229,36.651,39.89,35.971,39.951,23.491,73.422,59.424,22.768,73.592,72.084,18.845,-0.99595,-1.004698,-1.003885,-0.9992468,-0.9996746,-0.9967174,-0.9973886,-0.9902211,-0.9630738,-1.004181,-1.010806,-0.9930142,-0.9836816,-0.833318,-0.9482927,-0.9680163,-0.007861263,-0.009967499,-0.01103732,-0.01739614,-0.007816573,-0.03234225,-0.006939325,-0.0004843691,0.1233147,-0.004205784,-0.05268574,-0.01192467,0.0108552,0.3725689,0.8955235,0.03310326,Cedro
26.43446,42.15772,40.38282,32.73528,20.77446,43.13896,41.2032,36.98814,39.54046,23.15082,99.50752,62.8753,23.39308,75.10332,71.65396,18.71116,23.24954,31.15046,32.96786,25.43298,16.35344,36.97834,37.98076,33.98722,40.0703,22.62032,93.95976,55.64992,21.13218,72.3938,62.70326,18.96424,26.968,43.195,40.819,32.756,20.843,43.613,42.312,37.906,42.852,24.19,102.837,64.338,23.574,78.086,88.699,19.617,22.873,30,32.578,25.25,15.957,32.183,37.517,33.621,39.588,22.354,87.99,54.403,20.659,71.109,59.779,18.744,-1.002955,-1.003417,-1.000121,-0.9980004,-0.9999527,-0.9932573,-0.998129,-0.9976799,-0.9996617,-1.007844,-0.996809,-0.9986808,-1.010099,-0.9978867,-1.00057,-1.003106,-0.009756123,-0.02862077,-0.02598933,-0.03323453,-0.01631856,-0.05812745,-0.01622908,-0.01552824,-0.0009305138,-0.007380635,-0.02467721,-0.03295108,-0.003451041,-0.01393472,-0.03037846,-0.003132743,Cedro
24.98196,45.95092,39.97444,32.34752,20.8105,42.78288,40.87422,36.82798,39.77548,22.92184,99.55426,62.88556,23.79404,74.96544,71.42208,18.8734,25.31046,41.44694,37.25232,29.49296,20.01306,37.95292,39.54926,35.70728,42.59088,23.24066,98.97514,62.39616,24.56304,75.48388,87.80646,19.62542,26.703,46.968,40.319,33.07,21.03,43.403,41.783,37.462,43.542,23.935,104.734,64.473,25.341,79.237,98.074,19.963,25.068,40.756,36.972,29.121,19.876,37.462,39.113,35.26,40.381,22.926,87.524,60.378,23.601,71.27,72.581,19.174,-0.9814334,-1.003979,-0.9992154,-0.9967502,-0.9982601,-0.9967178,-0.9843835,-0.9375435,-0.9631995,-1.008955,-0.9966162,-0.9779356,-0.9872982,-0.9707561,-0.9720513,-0.9355946,0.01534473,-0.01370978,-0.01170575,-0.01601099,-0.003563691,-0.02546791,-0.01259094,-0.009666667,0.1212647,-0.008342138,0.005805117,-0.000776785,0.01405875,0.0429806,0.5438868,0.05925416,Cedro
26.0869,48.6034,39.86964,32.20772,20.66084,42.70384,40.76896,36.75606,40.08102,22.9455,98.49258,62.75674,23.79476,74.9528,72.08908,19.01296,25.2144,46.00568,37.59924,30.04546,19.93242,39.83272,39.10064,35.87724,42.37766,23.01166,88.64038,61.47964,24.15058,75.15742,87.99428,19.49906,26.539,49.535,40.196,32.183,20.867,43.195,41.457,37.353,43.403,23.851,103.463,64.881,25.129,78.467,92.4,19.92,24.979,41.072,37.353,29.844,19.724,39.409,38.704,35.511,40.693,22.926,83.73,60.988,23.684,72.581,73.252,19.257,-1.001377,-1.030768,-0.9979528,-0.9973993,-0.9975454,-0.994278,-0.9916892,-0.9515608,-0.9588588,-0.9985277,-1.001613,-0.9807307,-0.9866089,-0.8971845,-0.9683395,-0.958195,-0.004097791,-0.0107537,-0.0109441,-0.01117762,-0.004150437,-0.02133912,-0.01247328,-0.006658212,0.1194055,-4.67851e-06,-0.03659086,-0.009496336,0.009854204,0.1598201,0.5872717,0.02915609,Cedro
